"Mã QH","Quận /Huyện"
"347","Thành phố Phủ Lý"
"349","Thị xã Duy Tiên"
"350","Thị xã Kim Bảng"
"351","Huyện Thanh Liêm"
"352","Huyện Bình Lục"
"353","Huyện Lý Nhân"
