"Mã QH","Quận /Huyện"
"380","Thành phố Thanh Hóa"
"381","Thị xã Bỉm Sơn"
"382","Thành phố Sầm Sơn"
"384","Huyện Mường Lát"
"385","Huyện Quan Hóa"
"386","Huyện Bá Thước"
"387","Huyện Quan Sơn"
"388","Huyện Lang Chánh"
"389","Huyện Ngọc Lặc"
"390","Huyện Cẩm Thủy"
"391","Huyện Thạch Thành"
"392","Huyện Hà Trung"
"393","Huyện Vĩnh Lộc"
"394","Huyện Yên Định"
"395","Huyện Thọ Xuân"
"396","Huyện Thường Xuân"
"397","Huyện Triệu Sơn"
"398","Huyện Thiệu Hóa"
"399","Huyện Hoằng Hóa"
"400","Huyện Hậu Lộc"
"401","Huyện Nga Sơn"
"402","Huyện Như Xuân"
"403","Huyện Như Thanh"
"404","Huyện Nông Cống"
"406","Huyện Quảng Xương"
"407","Thị xã Nghi Sơn"
