"Mã QH","Quận /Huyện"
"593","Thành phố Phan Thiết"
"594","Thị xã La Gi"
"595","Huyện Tuy Phong"
"596","Huyện Bắc Bình"
"597","Huyện Hàm Thuận Bắc"
"598","Huyện Hàm Thuận Nam"
"599","Huyện Tánh Linh"
"600","Huyện Đức Linh"
"601","Huyện Hàm Tân"
"602","Huyện Phú Quí"
