"Mã QH","Quận /Huyện"
"178","Thành phố Lạng Sơn"
"180","Huyện Tràng Định"
"181","Huyện Bình Gia"
"182","Huyện Văn Lãng"
"183","Huyện Cao Lộc"
"184","Huyện Văn Quan"
"185","Huyện Bắc Sơn"
"186","Huyện Hữu Lũng"
"187","Huyện Chi Lăng"
"188","Huyện Lộc Bình"
"189","Huyện Đình Lập"
