"Mã QH","Quận /Huyện"
"213","Thành phố Bắc Giang"
"215","Huyện Yên Thế"
"216","Huyện Tân Yên"
"217","Huyện Lạng Giang"
"218","Huyện Lục Nam"
"219","Huyện Lục Ngạn"
"220","Huyện Sơn Động"
"222","Thị Xã Việt Yên"
"223","Huyện Hiệp Hòa"
"224","Thị xã Chũ"
