"Mã QH","Quận /Huyện"
"356","Thành phố Nam Định"
"359","Huyện Vụ Bản"
"360","Huyện Ý Yên"
"361","Huyện Nghĩa Hưng"
"362","Huyện Nam Trực"
"363","Huyện Trực Ninh"
"364","Huyện Xuân Trường"
"365","Huyện Giao Thủy"
"366","Huyện Hải Hậu"
