"Mã QH","Quận /Huyện"
"941","Thành phố Sóc Trăng"
"942","Huyện Châu Thành"
"943","Huyện Kế Sách"
"944","Huyện Mỹ Tú"
"945","Huyện Cù Lao Dung"
"946","Huyện Long Phú"
"947","Huyện Mỹ Xuyên"
"948","Thị xã Ngã Năm"
"949","Huyện Thạnh Trị"
"950","Thị xã Vĩnh Châu"
"951","Huyện Trần Đề"
