"Mã QH","Quận /Huyện"
"227","Thành phố Việt Trì"
"228","Thị xã Phú Thọ"
"230","Huyện Đoan Hùng"
"231","Huyện Hạ Hoà"
"232","Huyện Thanh Ba"
"233","Huyện Phù Ninh"
"234","Huyện Yên Lập"
"235","Huyện Cẩm Khê"
"236","Huyện Tam Nông"
"237","Huyện Lâm Thao"
"238","Huyện Thanh Sơn"
"239","Huyện Thanh Thuỷ"
"240","Huyện Tân Sơn"
